[[1, 0], [0, 1], [-189, -20]]
[[1, 0], [0, 1], [-36, -1]]
[[1, 0], [0, 1], [-360, -19]]
[[1, 0], [0, 1], [-37, -36]]
[[1, 0], [0, 1], [-45, -4]]
[[1, 0], [0, 1], [-56, -27]]
[[1, 0], [0, 1], [-9, -4]]
[[1, 0], [1, 10], [-29, -20]]
[[1, 0], [1, 12], [-11, -24]]
[[1, 0], [1, 12], [-7, -36]]
[[1, 0], [1, 18], [-5, -36]]
[[1, 0], [1, 19], [-37, -19]]
[[1, 0], [1, 20], [-19, -20]]
[[1, 0], [1, 21], [-13, -21]]
[[1, 0], [1, 24], [-7, -24]]
[[1, 0], [1, 27], [-5, -27]]
[[1, 0], [1, 2], [-109, -20]]
[[1, 0], [1, 2], [-29, -4]]
[[1, 0], [1, 2], [-37, -36]]
[[1, 0], [1, 2], [-41, -28]]
[[1, 0], [1, 2], [-65, -22]]
[[1, 0], [1, 3], [-13, -3]]
[[1, 0], [1, 3], [-25, -36]]
[[1, 0], [1, 3], [-29, -27]]
[[1, 0], [1, 3], [-35, -24]]
[[1, 0], [1, 3], [-55, -21]]
[[1, 0], [1, 4], [-19, -36]]
[[1, 0], [1, 4], [-19, -4]]
[[1, 0], [1, 4], [-59, -20]]
[[1, 0], [1, 5], [-49, -20]]
[[1, 0], [1, 6], [-13, -36]]
[[1, 0], [1, 6], [-19, -24]]
[[1, 0], [1, 7], [-13, -28]]
[[1, 0], [1, 9], [-11, -27]]
[[1, 0], [10, 27], [-14, -27]]
[[1, 0], [11, 12], [-19, -18]]
[[1, 0], [11, 12], [-31, -24]]
[[1, 0], [11, 12], [-37, -36]]
[[1, 0], [11, 18], [-25, -36]]
[[1, 0], [11, 20], [-29, -20]]
[[1, 0], [13, 18], [-29, -36]]
[[1, 0], [16, 27], [-20, -27]]
[[1, 0], [17, 18], [-37, -36]]
[[1, 0], [17, 36], [-19, -36]]
[[1, 0], [2, 3], [-37, -36]]
[[1, 0], [2, 3], [-38, -27]]
[[1, 0], [2, 3], [-43, -24]]
[[1, 0], [2, 3], [-62, -21]]
[[1, 0], [2, 9], [-13, -36]]
[[1, 0], [2, 9], [-14, -27]]
[[1, 0], [2, 9], [-5, -12]]
[[1, 0], [23, 36], [-25, -36]]
[[1, 0], [25, 27], [-29, -27]]
[[1, 0], [29, 36], [-31, -36]]
[[1, 0], [3, 4], [-10, -9]]
[[1, 0], [3, 4], [-19, -18]]
[[1, 0], [3, 4], [-21, -4]]
[[1, 0], [3, 4], [-24, -5]]
[[1, 0], [3, 4], [-37, -36]]
[[1, 0], [3, 4], [-39, -10]]
[[1, 0], [3, 4], [-69, -20]]
[[1, 0], [35, 36], [-37, -36]]
[[1, 0], [4, 27], [-8, -27]]
[[1, 0], [4, 9], [-20, -27]]
[[1, 0], [5, 12], [-19, -24]]
[[1, 0], [5, 12], [-19, -36]]
[[1, 0], [5, 18], [-13, -36]]
[[1, 0], [5, 24], [-11, -24]]
[[1, 0], [5, 6], [-35, -24]]
[[1, 0], [5, 6], [-37, -36]]
[[1, 0], [5, 9], [-23, -27]]
[[1, 0], [5, 9], [-25, -36]]
[[1, 0], [7, 12], [-13, -12]]
[[1, 0], [7, 12], [-13, -18]]
[[1, 0], [7, 12], [-23, -24]]
[[1, 0], [7, 12], [-25, -36]]
[[1, 0], [7, 18], [-17, -36]]
[[1, 0], [7, 9], [-29, -27]]
[[1, 0], [8, 9], [-13, -12]]
[[1, 0], [8, 9], [-32, -27]]
[[1, 0], [8, 9], [-37, -36]]
