[[1, 0], [0, 1], [-121, -1]]
[[1, 0], [0, 1], [-121, -2]]
[[1, 0], [0, 1], [-121, -61]]
[[1, 0], [0, 1], [-122, -121]]
[[1, 0], [0, 1], [-14883, -122]]
[[1, 0], [0, 1], [-242, -1]]
[[1, 0], [0, 1], [-242, -27]]
[[1, 0], [0, 1], [-242, -3]]
[[1, 0], [0, 1], [-242, -81]]
[[1, 0], [0, 1], [-242, -9]]
[[1, 0], [0, 1], [-243, -242]]
[[1, 0], [0, 1], [-2541, -41]]
[[1, 0], [0, 1], [-2541, -62]]
[[1, 0], [0, 1], [-363, -14]]
[[1, 0], [0, 1], [-363, -182]]
[[1, 0], [0, 1], [-363, -26]]
[[1, 0], [0, 1], [-363, -2]]
[[1, 0], [0, 1], [-7502, -123]]
[[1, 0], [0, 1], [-7502, -61]]
[[1, 0], [1, 10], [-27, -28]]
[[1, 0], [1, 10], [-51, -26]]
[[1, 0], [1, 11], [-12, -11]]
[[1, 0], [1, 11], [-13, -22]]
[[1, 0], [1, 11], [-14, -33]]
[[1, 0], [1, 11], [-15, -44]]
[[1, 0], [1, 11], [-155, -132]]
[[1, 0], [1, 11], [-17, -66]]
[[1, 0], [1, 11], [-23, -11]]
[[1, 0], [1, 11], [-23, -121]]
[[1, 0], [1, 11], [-35, -22]]
[[1, 0], [1, 11], [-45, -242]]
[[1, 0], [1, 11], [-47, -33]]
[[1, 0], [1, 11], [-50, -187]]
[[1, 0], [1, 11], [-59, -165]]
[[1, 0], [1, 11], [-59, -44]]
[[1, 0], [1, 11], [-69, -154]]
[[1, 0], [1, 11], [-83, -66]]
[[1, 0], [1, 11], [-90, -143]]
[[1, 0], [1, 121], [-2, -121]]
[[1, 0], [1, 121], [-3, -121]]
[[1, 0], [1, 121], [-5, -242]]
[[1, 0], [1, 122], [-243, -122]]
[[1, 0], [1, 123], [-122, -123]]
[[1, 0], [1, 132], [-23, -132]]
[[1, 0], [1, 143], [-12, -143]]
[[1, 0], [1, 14], [-251, -126]]
[[1, 0], [1, 14], [-62, -21]]
[[1, 0], [1, 15], [-26, -27]]
[[1, 0], [1, 18], [-83, -42]]
[[1, 0], [1, 22], [-12, -121]]
[[1, 0], [1, 22], [-15, -88]]
[[1, 0], [1, 22], [-20, -77]]
[[1, 0], [1, 22], [-23, -22]]
[[1, 0], [1, 22], [-23, -242]]
[[1, 0], [1, 22], [-29, -33]]
[[1, 0], [1, 22], [-35, -44]]
[[1, 0], [1, 22], [-47, -66]]
[[1, 0], [1, 22], [-83, -132]]
[[1, 0], [1, 242], [-3, -242]]
[[1, 0], [1, 2], [-122, -121]]
[[1, 0], [1, 2], [-123, -4]]
[[1, 0], [1, 2], [-218, -73]]
[[1, 0], [1, 2], [-243, -242]]
[[1, 0], [1, 2], [-243, -2]]
[[1, 0], [1, 2], [-251, -18]]
[[1, 0], [1, 2], [-2603, -124]]
[[1, 0], [1, 2], [-323, -162]]
[[1, 0], [1, 2], [-3842, -61]]
[[1, 0], [1, 2], [-62, -3]]
[[1, 0], [1, 2], [-681, -31]]
[[1, 0], [1, 2], [-7563, -122]]
[[1, 0], [1, 2], [-81, -41]]
[[1, 0], [1, 2], [-818, -63]]
[[1, 0], [1, 31], [-123, -62]]
[[1, 0], [1, 33], [-17, -198]]
[[1, 0], [1, 33], [-23, -33]]
[[1, 0], [1, 33], [-27, -44]]
[[1, 0], [1, 33], [-35, -66]]
[[1, 0], [1, 33], [-59, -132]]
[[1, 0], [1, 33], [-6, -77]]
[[1, 0], [1, 33], [-9, -55]]
[[1, 0], [1, 363], [-2, -363]]
[[1, 0], [1, 3], [-122, -3]]
[[1, 0], [1, 3], [-182, -183]]
[[1, 0], [1, 3], [-2582, -123]]
[[1, 0], [1, 3], [-377, -42]]
[[1, 0], [1, 3], [-61, -62]]
[[1, 0], [1, 3], [-83, -7]]
[[1, 0], [1, 3], [-901, -41]]
[[1, 0], [1, 3], [-97, -49]]
[[1, 0], [1, 41], [-122, -41]]
[[1, 0], [1, 41], [-245, -123]]
[[1, 0], [1, 42], [-62, -63]]
[[1, 0], [1, 44], [-15, -176]]
[[1, 0], [1, 44], [-23, -44]]
[[1, 0], [1, 44], [-29, -66]]
[[1, 0], [1, 44], [-4, -55]]
[[1, 0], [1, 44], [-47, -132]]
[[1, 0], [1, 4], [-681, -62]]
[[1, 0], [1, 4], [-81, -82]]
[[1, 0], [1, 55], [-14, -165]]
[[1, 0], [1, 5], [-26, -9]]
[[1, 0], [1, 5], [-269, -135]]
[[1, 0], [1, 5], [-27, -14]]
[[1, 0], [1, 5], [-389, -130]]
[[1, 0], [1, 5], [-51, -13]]
[[1, 0], [1, 61], [-243, -61]]
[[1, 0], [1, 61], [-365, -122]]
[[1, 0], [1, 62], [-123, -124]]
[[1, 0], [1, 66], [-23, -66]]
[[1, 0], [1, 66], [-35, -132]]
[[1, 0], [1, 6], [-62, -9]]
[[1, 0], [1, 6], [-83, -14]]
[[1, 0], [1, 77], [-13, -154]]
[[1, 0], [1, 7], [-251, -63]]
[[1, 0], [1, 7], [-89, -18]]
[[1, 0], [1, 9], [-377, -126]]
[[1, 0], [1, 9], [-83, -21]]
[[1, 0], [10, 11], [-122, -121]]
[[1, 0], [10, 11], [-137, -66]]
[[1, 0], [10, 11], [-194, -165]]
[[1, 0], [10, 11], [-195, -154]]
[[1, 0], [10, 11], [-203, -187]]
[[1, 0], [10, 11], [-207, -143]]
[[1, 0], [10, 11], [-243, -242]]
[[1, 0], [10, 11], [-263, -132]]
[[1, 0], [10, 11], [-31, -22]]
[[1, 0], [10, 11], [-41, -33]]
[[1, 0], [10, 11], [-51, -44]]
[[1, 0], [10, 11], [-53, -22]]
[[1, 0], [10, 11], [-71, -66]]
[[1, 0], [10, 11], [-74, -33]]
[[1, 0], [10, 11], [-95, -44]]
[[1, 0], [10, 121], [-12, -121]]
[[1, 0], [10, 121], [-23, -242]]
[[1, 0], [10, 33], [-24, -55]]
[[1, 0], [10, 33], [-27, -77]]
[[1, 0], [10, 33], [-39, -44]]
[[1, 0], [10, 33], [-53, -66]]
[[1, 0], [10, 33], [-71, -198]]
[[1, 0], [10, 33], [-95, -132]]
[[1, 0], [100, 121], [-203, -242]]
[[1, 0], [101, 121], [-205, -242]]
[[1, 0], [101, 242], [-103, -242]]
[[1, 0], [102, 121], [-207, -242]]
[[1, 0], [103, 121], [-105, -121]]
[[1, 0], [103, 242], [-105, -242]]
[[1, 0], [104, 121], [-211, -242]]
[[1, 0], [105, 121], [-213, -242]]
[[1, 0], [105, 242], [-107, -242]]
[[1, 0], [106, 121], [-215, -242]]
[[1, 0], [107, 121], [-217, -242]]
[[1, 0], [107, 242], [-109, -242]]
[[1, 0], [108, 121], [-219, -242]]
[[1, 0], [109, 121], [-221, -242]]
[[1, 0], [109, 242], [-111, -242]]
[[1, 0], [111, 121], [-225, -242]]
[[1, 0], [111, 242], [-113, -242]]
[[1, 0], [112, 121], [-227, -242]]
[[1, 0], [113, 121], [-229, -242]]
[[1, 0], [113, 242], [-115, -242]]
[[1, 0], [114, 121], [-116, -121]]
[[1, 0], [115, 121], [-233, -242]]
[[1, 0], [116, 121], [-235, -242]]
[[1, 0], [117, 121], [-237, -242]]
[[1, 0], [117, 242], [-119, -242]]
[[1, 0], [118, 121], [-239, -242]]
[[1, 0], [118, 143], [-129, -143]]
[[1, 0], [119, 121], [-241, -242]]
[[1, 0], [12, 121], [-14, -121]]
[[1, 0], [12, 121], [-27, -242]]
[[1, 0], [120, 121], [-122, -121]]
[[1, 0], [120, 121], [-243, -242]]
[[1, 0], [125, 242], [-127, -242]]
[[1, 0], [13, 121], [-14, -121]]
[[1, 0], [13, 121], [-15, -121]]
[[1, 0], [13, 121], [-29, -242]]
[[1, 0], [13, 132], [-35, -132]]
[[1, 0], [13, 22], [-155, -132]]
[[1, 0], [13, 22], [-155, -242]]
[[1, 0], [13, 22], [-47, -33]]
[[1, 0], [13, 22], [-59, -44]]
[[1, 0], [13, 22], [-62, -77]]
[[1, 0], [13, 22], [-63, -88]]
