[[1, 0], [0, 1], [-105, -59]]
[[1, 0], [0, 1], [-118, -49]]
[[1, 0], [0, 1], [-1239, -155]]
[[1, 0], [0, 1], [-1239, -248]]
[[1, 0], [0, 1], [-1239, -2]]
[[1, 0], [0, 1], [-1239, -5]]
[[1, 0], [0, 1], [-1239, -620]]
[[1, 0], [0, 1], [-1239, -8]]
[[1, 0], [0, 1], [-12449, -210]]
[[1, 0], [0, 1], [-12626, -427]]
[[1, 0], [0, 1], [-1298, -21]]
[[1, 0], [0, 1], [-1379, -590]]
[[1, 0], [0, 1], [-140, -59]]
[[1, 0], [0, 1], [-14455, -104]]
[[1, 0], [0, 1], [-14455, -139]]
[[1, 0], [0, 1], [-1475, -574]]
[[1, 0], [0, 1], [-1652, -19]]
[[1, 0], [0, 1], [-1652, -3]]
[[1, 0], [0, 1], [-1652, -551]]
[[1, 0], [0, 1], [-1652, -87]]
[[1, 0], [0, 1], [-1659, -236]]
[[1, 0], [0, 1], [-1711, -28]]
[[1, 0], [0, 1], [-171395, -414]]
[[1, 0], [0, 1], [-17346, -209]]
[[1, 0], [0, 1], [-17346, -83]]
[[1, 0], [0, 1], [-177, -14]]
[[1, 0], [0, 1], [-1770, -539]]
[[1, 0], [0, 1], [-1862, -531]]
[[1, 0], [0, 1], [-19411, -422]]
[[1, 0], [0, 1], [-19411, -46]]
[[1, 0], [0, 1], [-210, -59]]
[[1, 0], [0, 1], [-2124, -35]]
[[1, 0], [0, 1], [-2183, -147]]
[[1, 0], [0, 1], [-236, -7]]
[[1, 0], [0, 1], [-24839, -420]]
[[1, 0], [0, 1], [-2537, -42]]
[[1, 0], [0, 1], [-2655, -224]]
[[1, 0], [0, 1], [-2891, -482]]
[[1, 0], [0, 1], [-2891, -6]]
[[1, 0], [0, 1], [-28910, -419]]
[[1, 0], [0, 1], [-28910, -69]]
[[1, 0], [0, 1], [-295, -14]]
[[1, 0], [0, 1], [-295, -259]]
[[1, 0], [0, 1], [-3127, -476]]
[[1, 0], [0, 1], [-3311, -472]]
[[1, 0], [0, 1], [-354, -35]]
[[1, 0], [0, 1], [-3717, -143]]
[[1, 0], [0, 1], [-3717, -26]]
[[1, 0], [0, 1], [-413, -138]]
[[1, 0], [0, 1], [-413, -18]]
[[1, 0], [0, 1], [-413, -1]]
[[1, 0], [0, 1], [-413, -207]]
[[1, 0], [0, 1], [-413, -23]]
[[1, 0], [0, 1], [-413, -2]]
[[1, 0], [0, 1], [-413, -3]]
[[1, 0], [0, 1], [-413, -46]]
[[1, 0], [0, 1], [-413, -9]]
[[1, 0], [0, 1], [-4130, -459]]
[[1, 0], [0, 1], [-4130, -9]]
[[1, 0], [0, 1], [-414, -413]]
[[1, 0], [0, 1], [-4189, -70]]
[[1, 0], [0, 1], [-420, -59]]
[[1, 0], [0, 1], [-4484, -455]]
[[1, 0], [0, 1], [-4543, -142]]
[[1, 0], [0, 1], [-4543, -32]]
[[1, 0], [0, 1], [-472, -7]]
[[1, 0], [0, 1], [-497, -354]]
[[1, 0], [0, 1], [-5015, -84]]
[[1, 0], [0, 1], [-531, -98]]
[[1, 0], [0, 1], [-57407, -138]]
[[1, 0], [0, 1], [-57407, -416]]
[[1, 0], [0, 1], [-59, -14]]
[[1, 0], [0, 1], [-59, -21]]
[[1, 0], [0, 1], [-59, -28]]
[[1, 0], [0, 1], [-59, -35]]
[[1, 0], [0, 1], [-59, -42]]
[[1, 0], [0, 1], [-59, -7]]
[[1, 0], [0, 1], [-623, -177]]
[[1, 0], [0, 1], [-6254, -105]]
[[1, 0], [0, 1], [-649, -175]]
[[1, 0], [0, 1], [-70, -59]]
[[1, 0], [0, 1], [-767, -168]]
[[1, 0], [0, 1], [-7847, -18]]
[[1, 0], [0, 1], [-7847, -436]]
[[1, 0], [0, 1], [-826, -1]]
[[1, 0], [0, 1], [-827, -826]]
[[1, 0], [0, 1], [-8319, -140]]
[[1, 0], [0, 1], [-833, -118]]
[[1, 0], [0, 1], [-84, -59]]
[[1, 0], [0, 1], [-8555, -434]]
[[1, 0], [0, 1], [-85904, -207]]
[[1, 0], [0, 1], [-85904, -415]]
[[1, 0], [0, 1], [-885, -14]]
[[1, 0], [0, 1], [-896, -767]]
[[1, 0], [0, 1], [-944, -735]]
[[1, 0], [0, 1], [-9912, -23]]
[[1, 0], [0, 1], [-9912, -431]]
[[1, 0], [1, 104], [-415, -208]]
[[1, 0], [1, 105], [-139, -140]]
[[1, 0], [1, 105], [-179, -210]]
[[1, 0], [1, 105], [-299, -420]]
[[1, 0], [1, 10], [-1319, -210]]
[[1, 0], [1, 10], [-143, -14]]
[[1, 0], [1, 10], [-185, -21]]
[[1, 0], [1, 10], [-199, -590]]
[[1, 0], [1, 10], [-22, -59]]
[[1, 0], [1, 10], [-227, -28]]
[[1, 0], [1, 10], [-2579, -420]]
[[1, 0], [1, 10], [-269, -35]]
[[1, 0], [1, 10], [-311, -42]]
[[1, 0], [1, 10], [-459, -460]]
[[1, 0], [1, 10], [-46, -47]]
[[1, 0], [1, 10], [-479, -70]]
[[1, 0], [1, 10], [-563, -84]]
[[1, 0], [1, 10], [-689, -105]]
[[1, 0], [1, 10], [-8, -21]]
[[1, 0], [1, 10], [-87, -44]]
[[1, 0], [1, 10], [-899, -140]]
[[1, 0], [1, 118], [-15, -118]]
[[1, 0], [1, 118], [-15, -826]]
[[1, 0], [1, 118], [-19, -590]]
[[1, 0], [1, 118], [-23, -236]]
[[1, 0], [1, 118], [-39, -472]]
[[1, 0], [1, 118], [-5, -177]]
[[1, 0], [1, 118], [-8, -413]]
[[1, 0], [1, 11], [-164, -649]]
[[1, 0], [1, 11], [-1671, -209]]
[[1, 0], [1, 11], [-227, -19]]
[[1, 0], [1, 11], [-87, -308]]
[[1, 0], [1, 1239], [-2, -1239]]
[[1, 0], [1, 12], [-11, -14]]
[[1, 0], [1, 12], [-1109, -210]]
[[1, 0], [1, 12], [-129, -14]]
[[1, 0], [1, 12], [-143, -708]]
[[1, 0], [1, 12], [-164, -21]]
[[1, 0], [1, 12], [-167, -588]]
[[1, 0], [1, 12], [-199, -28]]
[[1, 0], [1, 12], [-2159, -420]]
[[1, 0], [1, 12], [-234, -35]]
[[1, 0], [1, 12], [-25, -118]]
[[1, 0], [1, 12], [-269, -42]]
[[1, 0], [1, 12], [-409, -70]]
[[1, 0], [1, 12], [-431, -216]]
[[1, 0], [1, 12], [-479, -84]]
[[1, 0], [1, 12], [-584, -105]]
