[[1, 0], [0, 1], [-1035, -22]]
[[1, 0], [0, 1], [-1045, -18]]
[[1, 0], [0, 1], [-1053, -935]]
[[1, 0], [0, 1], [-110, -27]]
[[1, 0], [0, 1], [-1115, -891]]
[[1, 0], [0, 1], [-11430, -253]]
[[1, 0], [0, 1], [-11655, -517]]
[[1, 0], [0, 1], [-1177, -855]]
[[1, 0], [0, 1], [-1215, -836]]
[[1, 0], [0, 1], [-123255, -248]]
[[1, 0], [0, 1], [-123255, -497]]
[[1, 0], [0, 1], [-12474, -125]]
[[1, 0], [0, 1], [-126, -55]]
[[1, 0], [0, 1], [-12771, -515]]
[[1, 0], [0, 1], [-1287, -805]]
[[1, 0], [0, 1], [-135, -11]]
[[1, 0], [0, 1], [-1375, -774]]
[[1, 0], [0, 1], [-13915, -252]]
[[1, 0], [0, 1], [-14135, -513]]
[[1, 0], [0, 1], [-1485, -2]]
[[1, 0], [0, 1], [-1485, -743]]
[[1, 0], [0, 1], [-1490, -297]]
[[1, 0], [0, 1], [-1496, -135]]
[[1, 0], [0, 1], [-15840, -31]]
[[1, 0], [0, 1], [-15840, -511]]
[[1, 0], [0, 1], [-1611, -715]]
[[1, 0], [0, 1], [-1735, -693]]
[[1, 0], [0, 1], [-17820, -251]]
[[1, 0], [0, 1], [-17820, -71]]
[[1, 0], [0, 1], [-1845, -286]]
[[1, 0], [0, 1], [-1859, -675]]
[[1, 0], [0, 1], [-1890, -671]]
[[1, 0], [0, 1], [-1980, -283]]
[[1, 0], [0, 1], [-1980, -7]]
[[1, 0], [0, 1], [-2035, -36]]
[[1, 0], [0, 1], [-2079, -650]]
[[1, 0], [0, 1], [-2200, -279]]
[[1, 0], [0, 1], [-2200, -639]]
[[1, 0], [0, 1], [-22815, -506]]
[[1, 0], [0, 1], [-246015, -496]]
[[1, 0], [0, 1], [-2475, -4]]
[[1, 0], [0, 1], [-2475, -619]]
[[1, 0], [0, 1], [-2484, -275]]
[[1, 0], [0, 1], [-24849, -250]]
[[1, 0], [0, 1], [-250, -99]]
[[1, 0], [0, 1], [-25047, -505]]
[[1, 0], [0, 1], [-253, -45]]
[[1, 0], [0, 1], [-270, -11]]
[[1, 0], [0, 1], [-2727, -605]]
[[1, 0], [0, 1], [-27775, -504]]
[[1, 0], [0, 1], [-297, -5]]
[[1, 0], [0, 1], [-2975, -594]]
[[1, 0], [0, 1], [-2981, -270]]
[[1, 0], [0, 1], [-31185, -503]]
[[1, 0], [0, 1], [-31185, -62]]
[[1, 0], [0, 1], [-3223, -585]]
[[1, 0], [0, 1], [-3285, -583]]
[[1, 0], [0, 1], [-3520, -63]]
[[1, 0], [0, 1], [-3564, -575]]
[[1, 0], [0, 1], [-3762, -265]]
[[1, 0], [0, 1], [-3905, -567]]
[[1, 0], [0, 1], [-4015, -72]]
[[1, 0], [0, 1], [-4455, -557]]
[[1, 0], [0, 1], [-4455, -8]]
[[1, 0], [0, 1], [-45, -22]]
[[1, 0], [0, 1], [-495, -16]]
[[1, 0], [0, 1], [-495, -1]]
[[1, 0], [0, 1], [-495, -31]]
[[1, 0], [0, 1], [-4959, -550]]
[[1, 0], [0, 1], [-49599, -500]]
[[1, 0], [0, 1], [-496, -495]]
[[1, 0], [0, 1], [-540, -11]]
