[[1, 0], [0, 1], [-1065, -4]]
[[1, 0], [0, 1], [-1280, -639]]
[[1, 0], [0, 1], [-13419, -440]]
[[1, 0], [0, 1], [-1420, -609]]
[[1, 0], [0, 1], [-1707, -568]]
[[1, 0], [0, 1], [-182328, -427]]
[[1, 0], [0, 1], [-1917, -548]]
[[1, 0], [0, 1], [-213, -4]]
[[1, 0], [0, 1], [-26412, -433]]
[[1, 0], [0, 1], [-26412, -61]]
[[1, 0], [0, 1], [-284, -45]]
[[1, 0], [0, 1], [-284, -9]]
[[1, 0], [0, 1], [-2988, -497]]
[[1, 0], [0, 1], [-30743, -432]]
[[1, 0], [0, 1], [-3408, -487]]
[[1, 0], [0, 1], [-3408, -7]]
[[1, 0], [0, 1], [-355, -24]]
[[1, 0], [0, 1], [-432, -71]]
[[1, 0], [0, 1], [-4757, -468]]
[[1, 0], [0, 1], [-4828, -33]]
[[1, 0], [0, 1], [-568, -3]]
[[1, 0], [0, 1], [-5680, -39]]
[[1, 0], [0, 1], [-61060, -429]]
[[1, 0], [0, 1], [-852, -1]]
[[1, 0], [0, 1], [-853, -852]]
[[1, 0], [0, 1], [-9088, -447]]
[[1, 0], [0, 1], [-91377, -428]]
[[1, 0], [0, 1], [-923, -792]]
[[1, 0], [1, 107], [-1069, -428]]
[[1, 0], [1, 108], [-167, -144]]
[[1, 0], [1, 108], [-359, -432]]
[[1, 0], [1, 109], [-217, -436]]
[[1, 0], [1, 10], [-1031, -86]]
[[1, 0], [1, 10], [-137, -92]]
[[1, 0], [1, 10], [-179, -710]]
[[1, 0], [1, 10], [-307, -88]]
[[1, 0], [1, 10], [-37, -142]]
[[1, 0], [1, 10], [-41, -126]]
[[1, 0], [1, 10], [-4729, -430]]
[[1, 0], [1, 10], [-67, -102]]
[[1, 0], [1, 117], [-25, -156]]
[[1, 0], [1, 11], [-329, -495]]
[[1, 0], [1, 11], [-571, -33]]
[[1, 0], [1, 11], [-5719, -429]]
[[1, 0], [1, 11], [-649, -39]]
[[1, 0], [1, 12], [-143, -852]]
[[1, 0], [1, 12], [-2663, -432]]
[[1, 0], [1, 12], [-79, -96]]
[[1, 0], [1, 13], [-11, -71]]
[[1, 0], [1, 13], [-41, -36]]
[[1, 0], [1, 13], [-4861, -429]]
[[1, 0], [1, 13], [-505, -33]]
[[1, 0], [1, 13], [-571, -39]]
[[1, 0], [1, 142], [-13, -852]]
[[1, 0], [1, 142], [-19, -568]]
[[1, 0], [1, 143], [-571, -429]]
[[1, 0], [1, 144], [-179, -216]]
[[1, 0], [1, 144], [-287, -432]]
[[1, 0], [1, 146], [-145, -438]]
[[1, 0], [1, 14], [-125, -756]]
[[1, 0], [1, 14], [-1735, -434]]
[[1, 0], [1, 14], [-181, -546]]
[[1, 0], [1, 14], [-671, -448]]
[[1, 0], [1, 152], [-37, -228]]
[[1, 0], [1, 15], [-119, -720]]
[[1, 0], [1, 16], [-1043, -216]]
[[1, 0], [1, 16], [-175, -528]]
[[1, 0], [1, 16], [-2015, -432]]
[[1, 0], [1, 16], [-29, -180]]
[[1, 0], [1, 16], [-557, -108]]
[[1, 0], [1, 16], [-61, -124]]
[[1, 0], [1, 17], [-35, -27]]
[[1, 0], [1, 17], [-7, -48]]
[[1, 0], [1, 18], [-107, -648]]
[[1, 0], [1, 18], [-1799, -432]]
[[1, 0], [1, 18], [-49, -30]]
[[1, 0], [1, 19], [-379, -456]]
[[1, 0], [1, 213], [-11, -639]]
