[[1, 0], [0, 1], [-1351, -192]]
[[1, 0], [0, 1], [-1520, -189]]
[[1, 0], [0, 1], [-192, -7]]
[[1, 0], [0, 1], [-21, -16]]
[[1, 0], [0, 1], [-2352, -13]]
[[1, 0], [0, 1], [-2352, -181]]
[[1, 0], [0, 1], [-28560, -169]]
[[1, 0], [0, 1], [-336, -1]]
[[1, 0], [0, 1], [-337, -336]]
[[1, 0], [0, 1], [-357, -16]]
[[1, 0], [0, 1], [-3717, -176]]
[[1, 0], [0, 1], [-4224, -175]]
[[1, 0], [0, 1], [-441, -272]]
[[1, 0], [0, 1], [-480, -259]]
[[1, 0], [0, 1], [-560, -9]]
[[1, 0], [0, 1], [-675, -224]]
[[1, 0], [0, 1], [-864, -35]]
[[1, 0], [0, 1], [-896, -207]]
[[1, 0], [0, 1], [-9632, -171]]
[[1, 0], [1, 10], [-109, -210]]
[[1, 0], [1, 10], [-1529, -170]]
[[1, 0], [1, 10], [-169, -10]]
[[1, 0], [1, 10], [-25, -42]]
[[1, 0], [1, 10], [-373, -34]]
[[1, 0], [1, 112], [-11, -224]]
[[1, 0], [1, 11], [-373, -176]]
[[1, 0], [1, 11], [-53, -16]]
[[1, 0], [1, 12], [-101, -204]]
[[1, 0], [1, 12], [-239, -180]]
[[1, 0], [1, 12], [-59, -288]]
[[1, 0], [1, 12], [-59, -36]]
[[1, 0], [1, 12], [-65, -252]]
[[1, 0], [1, 13], [-2365, -169]]
[[1, 0], [1, 13], [-337, -13]]
[[1, 0], [1, 14], [-181, -182]]
[[1, 0], [1, 14], [-19, -42]]
[[1, 0], [1, 14], [-25, -14]]
[[1, 0], [1, 14], [-67, -224]]
[[1, 0], [1, 14], [-79, -210]]
[[1, 0], [1, 15], [-13, -48]]
[[1, 0], [1, 15], [-25, -39]]
[[1, 0], [1, 168], [-5, -336]]
[[1, 0], [1, 169], [-337, -169]]
[[1, 0], [1, 16], [-103, -192]]
[[1, 0], [1, 16], [-263, -176]]
[[1, 0], [1, 16], [-43, -16]]
[[1, 0], [1, 16], [-43, -336]]
[[1, 0], [1, 16], [-59, -224]]
[[1, 0], [1, 170], [-169, -170]]
[[1, 0], [1, 171], [-113, -171]]
[[1, 0], [1, 172], [-85, -172]]
[[1, 0], [1, 176], [-43, -176]]
[[1, 0], [1, 180], [-29, -180]]
[[1, 0], [1, 182], [-25, -182]]
[[1, 0], [1, 189], [-17, -189]]
[[1, 0], [1, 196], [-13, -196]]
[[1, 0], [1, 19], [-37, -304]]
[[1, 0], [1, 19], [-569, -171]]
[[1, 0], [1, 20], [-149, -180]]
[[1, 0], [1, 20], [-41, -36]]
[[1, 0], [1, 21], [-43, -231]]
[[1, 0], [1, 21], [-89, -189]]
[[1, 0], [1, 22], [-197, -176]]
[[1, 0], [1, 22], [-65, -198]]
[[1, 0], [1, 24], [-29, -336]]
[[1, 0], [1, 24], [-71, -192]]
[[1, 0], [1, 252], [-5, -252]]
[[1, 0], [1, 25], [-199, -175]]
[[1, 0], [1, 25], [-59, -35]]
[[1, 0], [1, 26], [-103, -182]]
[[1, 0], [1, 27], [-29, -63]]
[[1, 0], [1, 27], [-71, -189]]
[[1, 0], [1, 28], [-25, -336]]
[[1, 0], [1, 28], [-29, -252]]
[[1, 0], [1, 28], [-55, -196]]
[[1, 0], [1, 2], [-103, -14]]
[[1, 0], [1, 2], [-109, -42]]
[[1, 0], [1, 2], [-115, -6]]
[[1, 0], [1, 2], [-1195, -182]]
[[1, 0], [1, 2], [-1529, -34]]
[[1, 0], [1, 2], [-1601, -178]]
[[1, 0], [1, 2], [-169, -2]]
[[1, 0], [1, 2], [-1957, -176]]
[[1, 0], [1, 2], [-197, -16]]
[[1, 0], [1, 2], [-2551, -174]]
[[1, 0], [1, 2], [-337, -336]]
[[1, 0], [1, 2], [-341, -304]]
[[1, 0], [1, 2], [-347, -288]]
[[1, 0], [1, 2], [-359, -270]]
[[1, 0], [1, 2], [-407, -238]]
[[1, 0], [1, 2], [-451, -224]]
[[1, 0], [1, 2], [-509, -10]]
[[1, 0], [1, 2], [-529, -210]]
[[1, 0], [1, 2], [-545, -208]]
