[[1, 0], [0, 1], [-1047, -131]]
[[1, 0], [0, 1], [-1047, -2]]
[[1, 0], [0, 1], [-1047, -524]]
[[1, 0], [0, 1], [-1047, -8]]
[[1, 0], [0, 1], [-122499, -350]]
[[1, 0], [0, 1], [-12564, -359]]
[[1, 0], [0, 1], [-12564, -35]]
[[1, 0], [0, 1], [-1396, -11]]
[[1, 0], [0, 1], [-1396, -127]]
[[1, 0], [0, 1], [-1745, -194]]
[[1, 0], [0, 1], [-1745, -9]]
[[1, 0], [0, 1], [-17799, -356]]
[[1, 0], [0, 1], [-17799, -50]]
[[1, 0], [0, 1], [-20591, -117]]
[[1, 0], [0, 1], [-20591, -176]]
[[1, 0], [0, 1], [-2094, -419]]
[[1, 0], [0, 1], [-2094, -5]]
[[1, 0], [0, 1], [-2443, -13]]
[[1, 0], [0, 1], [-2443, -188]]
[[1, 0], [0, 1], [-24779, -354]]
[[1, 0], [0, 1], [-24779, -70]]
[[1, 0], [0, 1], [-2792, -399]]
[[1, 0], [0, 1], [-2792, -7]]
[[1, 0], [0, 1], [-349, -10]]
[[1, 0], [0, 1], [-349, -14]]
[[1, 0], [0, 1], [-349, -175]]
[[1, 0], [0, 1], [-349, -1]]
[[1, 0], [0, 1], [-349, -25]]
[[1, 0], [0, 1], [-349, -2]]
[[1, 0], [0, 1], [-349, -35]]
[[1, 0], [0, 1], [-349, -50]]
[[1, 0], [0, 1], [-349, -5]]
[[1, 0], [0, 1], [-349, -70]]
[[1, 0], [0, 1], [-349, -7]]
[[1, 0], [0, 1], [-350, -349]]
[[1, 0], [0, 1], [-3839, -10]]
[[1, 0], [0, 1], [-3839, -120]]
[[1, 0], [0, 1], [-3839, -32]]
[[1, 0], [0, 1], [-3839, -384]]
[[1, 0], [0, 1], [-4188, -59]]
[[1, 0], [0, 1], [-4188, -71]]
[[1, 0], [0, 1], [-4886, -181]]
[[1, 0], [0, 1], [-4886, -27]]
[[1, 0], [0, 1], [-5235, -119]]
[[1, 0], [0, 1], [-5235, -14]]
[[1, 0], [0, 1], [-5235, -374]]
[[1, 0], [0, 1], [-5235, -44]]
[[1, 0], [0, 1], [-61424, -175]]
[[1, 0], [0, 1], [-61424, -351]]
[[1, 0], [0, 1], [-698, -1]]
[[1, 0], [0, 1], [-698, -233]]
[[1, 0], [0, 1], [-698, -3]]
[[1, 0], [0, 1], [-6980, -179]]
[[1, 0], [0, 1], [-6980, -39]]
[[1, 0], [0, 1], [-699, -698]]
[[1, 0], [0, 1], [-9074, -25]]
[[1, 0], [0, 1], [-9074, -363]]
[[1, 0], [1, 1047], [-2, -1047]]
[[1, 0], [1, 10], [-1224, -25]]
[[1, 0], [1, 10], [-12599, -350]]
[[1, 0], [1, 10], [-147, -74]]
[[1, 0], [1, 10], [-1574, -35]]
[[1, 0], [1, 10], [-179, -45]]
[[1, 0], [1, 10], [-194, -195]]
[[1, 0], [1, 10], [-2099, -50]]
[[1, 0], [1, 10], [-2799, -70]]
[[1, 0], [1, 10], [-6474, -175]]
[[1, 0], [1, 10], [-699, -10]]
[[1, 0], [1, 10], [-71, -12]]
[[1, 0], [1, 10], [-839, -14]]
[[1, 0], [1, 117], [-350, -117]]
[[1, 0], [1, 117], [-701, -351]]
[[1, 0], [1, 118], [-176, -177]]
[[1, 0], [1, 11], [-1055, -88]]
[[1, 0], [1, 11], [-287, -16]]
[[1, 0], [1, 11], [-35, -36]]
[[1, 0], [1, 11], [-351, -22]]
[[1, 0], [1, 11], [-384, -385]]
[[1, 0], [1, 11], [-3871, -352]]
[[1, 0], [1, 12], [-127, -128]]
[[1, 0], [1, 12], [-359, -120]]
[[1, 0], [1, 13], [-1754, -117]]
[[1, 0], [1, 13], [-350, -13]]
[[1, 0], [1, 13], [-363, -182]]
[[1, 0], [1, 13], [-4913, -351]]
[[1, 0], [1, 13], [-539, -27]]
[[1, 0], [1, 13], [-701, -39]]
[[1, 0], [1, 14], [-1224, -35]]
[[1, 0], [1, 14], [-1599, -50]]
[[1, 0], [1, 14], [-181, -91]]
[[1, 0], [1, 14], [-188, -189]]
[[1, 0], [1, 14], [-2099, -70]]
[[1, 0], [1, 14], [-4724, -175]]
[[1, 0], [1, 14], [-699, -14]]
[[1, 0], [1, 14], [-9099, -350]]
[[1, 0], [1, 14], [-974, -25]]
[[1, 0], [1, 15], [-119, -40]]
[[1, 0], [1, 15], [-25, -26]]
[[1, 0], [1, 15], [-374, -375]]
[[1, 0], [1, 15], [-71, -18]]
[[1, 0], [1, 16], [-1407, -176]]
[[1, 0], [1, 16], [-351, -32]]
[[1, 0], [1, 16], [-439, -44]]
[[1, 0], [1, 175], [-1049, -350]]
[[1, 0], [1, 175], [-699, -175]]
[[1, 0], [1, 176], [-351, -352]]
[[1, 0], [1, 17], [-356, -119]]
[[1, 0], [1, 18], [-359, -180]]
[[1, 0], [1, 20], [-179, -90]]
[[1, 0], [1, 20], [-71, -24]]
[[1, 0], [1, 21], [-152, -51]]
[[1, 0], [1, 22], [-1055, -176]]
[[1, 0], [1, 22], [-287, -32]]
[[1, 0], [1, 22], [-351, -44]]
[[1, 0], [1, 25], [-1049, -50]]
[[1, 0], [1, 25], [-1329, -70]]
[[1, 0], [1, 25], [-2799, -175]]
[[1, 0], [1, 25], [-5249, -350]]
[[1, 0], [1, 25], [-699, -25]]
[[1, 0], [1, 25], [-839, -35]]
[[1, 0], [1, 26], [-363, -364]]
[[1, 0], [1, 27], [-2456, -351]]
[[1, 0], [1, 27], [-350, -27]]
[[1, 0], [1, 27], [-428, -39]]
[[1, 0], [1, 27], [-935, -117]]
[[1, 0], [1, 28], [-181, -182]]
[[1, 0], [1, 2], [-1055, -16]]
[[1, 0], [1, 2], [-1224, -5]]
[[1, 0], [1, 2], [-12599, -70]]
[[1, 0], [1, 2], [-1407, -22]]
[[1, 0], [1, 2], [-1574, -7]]
[[1, 0], [1, 2], [-176, -3]]
[[1, 0], [1, 2], [-179, -9]]
[[1, 0], [1, 2], [-181, -13]]
[[1, 0], [1, 2], [-188, -27]]
[[1, 0], [1, 2], [-1939, -388]]
[[1, 0], [1, 2], [-194, -39]]
[[1, 0], [1, 2], [-20767, -352]]
[[1, 0], [1, 2], [-2099, -10]]
[[1, 0], [1, 2], [-2313, -89]]
[[1, 0], [1, 2], [-233, -117]]
[[1, 0], [1, 2], [-2631, -376]]
[[1, 0], [1, 2], [-2799, -14]]
[[1, 0], [1, 2], [-30974, -175]]
[[1, 0], [1, 2], [-350, -349]]
[[1, 0], [1, 2], [-351, -4]]
[[1, 0], [1, 2], [-359, -20]]
[[1, 0], [1, 2], [-363, -28]]
[[1, 0], [1, 2], [-399, -100]]
[[1, 0], [1, 2], [-419, -140]]
[[1, 0], [1, 2], [-4247, -118]]
[[1, 0], [1, 2], [-4724, -25]]
[[1, 0], [1, 2], [-5067, -362]]
[[1, 0], [1, 2], [-5279, -88]]
[[1, 0], [1, 2], [-61599, -350]]
[[1, 0], [1, 2], [-6474, -35]]
[[1, 0], [1, 2], [-699, -2]]
[[1, 0], [1, 2], [-699, -698]]
[[1, 0], [1, 2], [-7159, -358]]
[[1, 0], [1, 2], [-9099, -50]]
[[1, 0], [1, 2], [-931, -466]]
[[1, 0], [1, 30], [-71, -36]]
[[1, 0], [1, 32], [-1407, -352]]
[[1, 0], [1, 32], [-439, -88]]
[[1, 0], [1, 33], [-120, -121]]
[[1, 0], [1, 349], [-2, -349]]
[[1, 0], [1, 349], [-3, -349]]
[[1, 0], [1, 349], [-5, -698]]
[[1, 0], [1, 350], [-699, -350]]
[[1, 0], [1, 351], [-350, -351]]
[[1, 0], [1, 35], [-1049, -70]]
[[1, 0], [1, 35], [-2099, -175]]
[[1, 0], [1, 35], [-3849, -350]]
[[1, 0], [1, 35], [-699, -35]]
[[1, 0], [1, 35], [-849, -50]]
[[1, 0], [1, 36], [-359, -360]]
[[1, 0], [1, 39], [-1754, -351]]
[[1, 0], [1, 39], [-350, -39]]
[[1, 0], [1, 39], [-701, -117]]
[[1, 0], [1, 3], [-1178, -393]]
[[1, 0], [1, 3], [-119, -8]]
[[1, 0], [1, 3], [-120, -11]]
[[1, 0], [1, 3], [-127, -32]]
[[1, 0], [1, 3], [-131, -44]]
[[1, 0], [1, 3], [-1523, -381]]
[[1, 0], [1, 3], [-175, -176]]
[[1, 0], [1, 3], [-1754, -27]]
[[1, 0], [1, 3], [-20708, -351]]
[[1, 0], [1, 3], [-2456, -39]]
[[1, 0], [1, 3], [-350, -3]]
[[1, 0], [1, 3], [-356, -21]]
[[1, 0], [1, 3], [-359, -30]]
[[1, 0], [1, 3], [-374, -75]]
[[1, 0], [1, 3], [-3959, -360]]
[[1, 0], [1, 3], [-419, -210]]
[[1, 0], [1, 3], [-4247, -177]]
[[1, 0], [1, 3], [-524, -525]]
[[1, 0], [1, 3], [-5354, -357]]
[[1, 0], [1, 3], [-701, -9]]
[[1, 0], [1, 3], [-7019, -117]]
[[1, 0], [1, 3], [-935, -13]]
