[[1, 0], [0, 1], [-124, -1]]
[[1, 0], [0, 1], [-124, -25]]
[[1, 0], [0, 1], [-124, -5]]
[[1, 0], [0, 1], [-125, -124]]
[[1, 0], [0, 1], [-1364, -21]]
[[1, 0], [0, 1], [-1364, -65]]
[[1, 0], [0, 1], [-155, -104]]
[[1, 0], [0, 1], [-155, -24]]
[[1, 0], [0, 1], [-188, -93]]
[[1, 0], [0, 1], [-2015, -64]]
[[1, 0], [0, 1], [-248, -3]]
[[1, 0], [0, 1], [-248, -83]]
[[1, 0], [0, 1], [-279, -80]]
[[1, 0], [0, 1], [-341, -76]]
[[1, 0], [0, 1], [-3968, -63]]
[[1, 0], [0, 1], [-496, -71]]
[[1, 0], [0, 1], [-496, -7]]
[[1, 0], [0, 1], [-620, -69]]
[[1, 0], [0, 1], [-620, -9]]
[[1, 0], [0, 1], [-64, -31]]
[[1, 0], [0, 1], [-713, -68]]
[[1, 0], [1, 10], [-39, -80]]
[[1, 0], [1, 10], [-69, -70]]
[[1, 0], [1, 124], [-3, -124]]
[[1, 0], [1, 13], [-129, -65]]
[[1, 0], [1, 16], [-159, -64]]
[[1, 0], [1, 16], [-9, -20]]
[[1, 0], [1, 18], [-35, -72]]
[[1, 0], [1, 21], [-125, -21]]
[[1, 0], [1, 21], [-251, -63]]
[[1, 0], [1, 22], [-65, -66]]
[[1, 0], [1, 24], [-17, -36]]
[[1, 0], [1, 2], [-1055, -64]]
[[1, 0], [1, 2], [-125, -124]]
[[1, 0], [1, 2], [-197, -22]]
[[1, 0], [1, 2], [-33, -4]]
[[1, 0], [1, 2], [-35, -8]]
[[1, 0], [1, 2], [-39, -16]]
[[1, 0], [1, 2], [-47, -32]]
[[1, 0], [1, 2], [-65, -6]]
[[1, 0], [1, 2], [-69, -14]]
[[1, 0], [1, 31], [-11, -93]]
[[1, 0], [1, 31], [-5, -31]]
[[1, 0], [1, 31], [-9, -124]]
[[1, 0], [1, 32], [-95, -64]]
[[1, 0], [1, 34], [-33, -68]]
[[1, 0], [1, 3], [-125, -3]]
[[1, 0], [1, 3], [-1385, -63]]
[[1, 0], [1, 3], [-149, -75]]
[[1, 0], [1, 3], [-179, -72]]
[[1, 0], [1, 3], [-209, -7]]
[[1, 0], [1, 3], [-251, -9]]
