[[1, 0], [0, 1], [-152, -17]]
[[1, 0], [0, 1], [-152, -1]]
[[1, 0], [0, 1], [-152, -9]]
[[1, 0], [0, 1], [-153, -152]]
[[1, 0], [0, 1], [-1539, -80]]
[[1, 0], [0, 1], [-19, -16]]
[[1, 0], [0, 1], [-209, -120]]
[[1, 0], [0, 1], [-285, -104]]
[[1, 0], [0, 1], [-323, -16]]
[[1, 0], [0, 1], [-384, -95]]
[[1, 0], [0, 1], [-57, -8]]
[[1, 0], [0, 1], [-5928, -77]]
[[1, 0], [0, 1], [-608, -7]]
[[1, 0], [0, 1], [-608, -87]]
[[1, 0], [0, 1], [-80, -19]]
[[1, 0], [0, 1], [-912, -11]]
[[1, 0], [0, 1], [-912, -83]]
[[1, 0], [1, 10], [-17, -18]]
[[1, 0], [1, 10], [-179, -80]]
[[1, 0], [1, 10], [-51, -16]]
[[1, 0], [1, 10], [-7, -32]]
[[1, 0], [1, 114], [-5, -114]]
[[1, 0], [1, 11], [-153, -11]]
[[1, 0], [1, 11], [-615, -77]]
[[1, 0], [1, 11], [-65, -88]]
[[1, 0], [1, 12], [-29, -120]]
[[1, 0], [1, 12], [-83, -84]]
[[1, 0], [1, 14], [-27, -112]]
[[1, 0], [1, 152], [-3, -152]]
[[1, 0], [1, 15], [-9, -40]]
[[1, 0], [1, 16], [-119, -80]]
[[1, 0], [1, 16], [-13, -56]]
[[1, 0], [1, 16], [-39, -16]]
[[1, 0], [1, 16], [-69, -40]]
[[1, 0], [1, 19], [-17, -152]]
[[1, 0], [1, 19], [-29, -95]]
[[1, 0], [1, 19], [-9, -19]]
[[1, 0], [1, 20], [-5, -24]]
[[1, 0], [1, 20], [-99, -80]]
[[1, 0], [1, 24], [-23, -96]]
[[1, 0], [1, 26], [-155, -78]]
[[1, 0], [1, 26], [-77, -26]]
[[1, 0], [1, 28], [-41, -84]]
[[1, 0], [1, 2], [-153, -152]]
[[1, 0], [1, 2], [-155, -6]]
[[1, 0], [1, 2], [-1559, -78]]
[[1, 0], [1, 2], [-159, -128]]
[[1, 0], [1, 2], [-173, -114]]
[[1, 0], [1, 2], [-179, -16]]
[[1, 0], [1, 2], [-203, -102]]
[[1, 0], [1, 2], [-27, -16]]
[[1, 0], [1, 2], [-329, -88]]
[[1, 0], [1, 2], [-545, -26]]
[[1, 0], [1, 2], [-573, -82]]
[[1, 0], [1, 2], [-59, -38]]
[[1, 0], [1, 2], [-77, -2]]
[[1, 0], [1, 2], [-819, -80]]
[[1, 0], [1, 32], [-11, -48]]
[[1, 0], [1, 38], [-11, -114]]
[[1, 0], [1, 38], [-5, -38]]
[[1, 0], [1, 38], [-9, -152]]
[[1, 0], [1, 3], [-161, -27]]
[[1, 0], [1, 3], [-35, -48]]
[[1, 0], [1, 3], [-55, -32]]
[[1, 0], [1, 3], [-61, -31]]
[[1, 0], [1, 3], [-9, -8]]
[[1, 0], [1, 40], [-59, -80]]
[[1, 0], [1, 44], [-21, -88]]
[[1, 0], [1, 4], [-119, -96]]
[[1, 0], [1, 4], [-137, -92]]
[[1, 0], [1, 4], [-21, -8]]
[[1, 0], [1, 4], [-29, -40]]
[[1, 0], [1, 4], [-41, -12]]
[[1, 0], [1, 4], [-419, -80]]
[[1, 0], [1, 4], [-77, -152]]
[[1, 0], [1, 4], [-83, -28]]
[[1, 0], [1, 4], [-99, -16]]
[[1, 0], [1, 5], [-169, -85]]
[[1, 0], [1, 5], [-23, -19]]
[[1, 0], [1, 5], [-339, -80]]
[[1, 0], [1, 5], [-83, -16]]
[[1, 0], [1, 5], [-99, -95]]
[[1, 0], [1, 6], [-207, -26]]
[[1, 0], [1, 6], [-21, -38]]
[[1, 0], [1, 6], [-545, -78]]
[[1, 0], [1, 6], [-59, -114]]
[[1, 0], [1, 6], [-77, -6]]
[[1, 0], [1, 76], [-5, -152]]
[[1, 0], [1, 77], [-153, -77]]
