[[1, 0], [0, 1], [-10148, -85]]
[[1, 0], [0, 1], [-116820, -197]]
[[1, 0], [0, 1], [-116820, -593]]
[[1, 0], [0, 1], [-1180, -1]]
[[1, 0], [0, 1], [-1181, -1180]]
[[1, 0], [0, 1], [-1185, -236]]
[[1, 0], [0, 1], [-11859, -200]]
[[1, 0], [0, 1], [-12213, -620]]
[[1, 0], [0, 1], [-1475, -984]]
[[1, 0], [0, 1], [-1575, -944]]
[[1, 0], [0, 1], [-174935, -592]]
[[1, 0], [0, 1], [-177, -20]]
[[1, 0], [0, 1], [-1772, -885]]
[[1, 0], [0, 1], [-200, -59]]
[[1, 0], [0, 1], [-236, -5]]
[[1, 0], [0, 1], [-2360, -3]]
[[1, 0], [0, 1], [-2360, -787]]
[[1, 0], [0, 1], [-23836, -605]]
[[1, 0], [0, 1], [-2560, -767]]
[[1, 0], [0, 1], [-295, -16]]
[[1, 0], [0, 1], [-349280, -591]]
[[1, 0], [0, 1], [-3545, -708]]
[[1, 0], [0, 1], [-35459, -600]]
[[1, 0], [0, 1], [-413, -20]]
[[1, 0], [0, 1], [-4248, -35]]
[[1, 0], [0, 1], [-5015, -16]]
[[1, 0], [0, 1], [-58705, -596]]
[[1, 0], [0, 1], [-592, -295]]
[[1, 0], [0, 1], [-600, -59]]
[[1, 0], [0, 1], [-6500, -649]]
[[1, 0], [0, 1], [-70328, -595]]
[[1, 0], [0, 1], [-708, -5]]
[[1, 0], [1, 100], [-131, -120]]
[[1, 0], [1, 100], [-179, -200]]
[[1, 0], [1, 100], [-419, -600]]
[[1, 0], [1, 10], [-1007, -630]]
[[1, 0], [1, 10], [-1259, -200]]
[[1, 0], [1, 10], [-1301, -620]]
[[1, 0], [1, 10], [-237, -1180]]
[[1, 0], [1, 10], [-3659, -600]]
[[1, 0], [1, 10], [-369, -740]]
[[1, 0], [1, 10], [-61, -20]]
[[1, 0], [1, 10], [-69, -100]]
[[1, 0], [1, 10], [-831, -640]]
[[1, 0], [1, 10], [-89, -300]]
[[1, 0], [1, 1180], [-3, -1180]]
[[1, 0], [1, 118], [-17, -236]]
[[1, 0], [1, 118], [-21, -1180]]
[[1, 0], [1, 118], [-23, -944]]
[[1, 0], [1, 118], [-27, -826]]
[[1, 0], [1, 118], [-41, -708]]
[[1, 0], [1, 119], [-713, -595]]
[[1, 0], [1, 11], [-197, -220]]
[[1, 0], [1, 11], [-241, -55]]
[[1, 0], [1, 11], [-33, -68]]
[[1, 0], [1, 11], [-659, -649]]
[[1, 0], [1, 11], [-69, -59]]
[[1, 0], [1, 120], [-159, -200]]
[[1, 0], [1, 120], [-209, -300]]
[[1, 0], [1, 120], [-359, -600]]
[[1, 0], [1, 121], [-241, -605]]
[[1, 0], [1, 124], [-123, -620]]
[[1, 0], [1, 126], [-41, -210]]
[[1, 0], [1, 12], [-1059, -200]]
[[1, 0], [1, 12], [-123, -236]]
[[1, 0], [1, 12], [-203, -1020]]
[[1, 0], [1, 12], [-3059, -600]]
[[1, 0], [1, 12], [-359, -708]]
[[1, 0], [1, 12], [-527, -660]]
[[1, 0], [1, 13], [-23, -59]]
[[1, 0], [1, 13], [-259, -767]]
[[1, 0], [1, 13], [-27, -56]]
[[1, 0], [1, 13], [-311, -208]]
[[1, 0], [1, 148], [-1479, -592]]
[[1, 0], [1, 14], [-209, -826]]
[[1, 0], [1, 14], [-251, -210]]
[[1, 0], [1, 150], [-139, -200]]
[[1, 0], [1, 150], [-299, -600]]
[[1, 0], [1, 15], [-179, -885]]
[[1, 0], [1, 15], [-21, -20]]
[[1, 0], [1, 15], [-2459, -600]]
[[1, 0], [1, 15], [-61, -295]]
[[1, 0], [1, 15], [-859, -200]]
[[1, 0], [1, 160], [-63, -640]]
[[1, 0], [1, 165], [-21, -220]]
[[1, 0], [1, 16], [-11247, -592]]
[[1, 0], [1, 16], [-159, -944]]
[[1, 0], [1, 16], [-3033, -148]]
[[1, 0], [1, 16], [-41, -236]]
[[1, 0], [1, 16], [-5771, -296]]
[[1, 0], [1, 16], [-591, -16]]
[[1, 0], [1, 16], [-77, -52]]
[[1, 0], [1, 177], [-13, -236]]
[[1, 0], [1, 177], [-17, -885]]
[[1, 0], [1, 177], [-29, -708]]
[[1, 0], [1, 177], [-7, -295]]
[[1, 0], [1, 17], [-363, -35]]
[[1, 0], [1, 17], [-4283, -595]]
[[1, 0], [1, 17], [-713, -85]]
[[1, 0], [1, 18], [-1781, -198]]
[[1, 0], [1, 18], [-329, -22]]
