[[1, 0], [0, 1], [-128, -31]]
[[1, 0], [0, 1], [-15624, -125]]
[[1, 0], [0, 1], [-248, -1]]
[[1, 0], [0, 1], [-249, -248]]
[[1, 0], [0, 1], [-279, -224]]
[[1, 0], [0, 1], [-3224, -129]]
[[1, 0], [0, 1], [-3224, -25]]
[[1, 0], [0, 1], [-3999, -128]]
[[1, 0], [0, 1], [-624, -155]]
[[1, 0], [0, 1], [-744, -149]]
[[1, 0], [0, 1], [-744, -5]]
[[1, 0], [0, 1], [-899, -144]]
[[1, 0], [0, 1], [-93, -8]]
[[1, 0], [1, 10], [-11, -48]]
[[1, 0], [1, 10], [-77, -26]]
[[1, 0], [1, 11], [-5, -24]]
[[1, 0], [1, 124], [-5, -248]]
[[1, 0], [1, 125], [-249, -125]]
[[1, 0], [1, 126], [-125, -126]]
[[1, 0], [1, 128], [-63, -128]]
[[1, 0], [1, 12], [-197, -132]]
[[1, 0], [1, 12], [-25, -52]]
[[1, 0], [1, 12], [-35, -48]]
[[1, 0], [1, 12], [-47, -192]]
[[1, 0], [1, 14], [-125, -14]]
[[1, 0], [1, 14], [-143, -18]]
[[1, 0], [1, 14], [-251, -42]]
[[1, 0], [1, 14], [-629, -126]]
[[1, 0], [1, 155], [-9, -155]]
[[1, 0], [1, 16], [-17, -24]]
[[1, 0], [1, 16], [-21, -88]]
[[1, 0], [1, 16], [-287, -128]]
[[1, 0], [1, 16], [-71, -144]]
[[1, 0], [1, 17], [-101, -136]]
[[1, 0], [1, 186], [-5, -186]]
[[1, 0], [1, 18], [-125, -18]]
[[1, 0], [1, 18], [-209, -42]]
[[1, 0], [1, 18], [-503, -126]]
[[1, 0], [1, 20], [-39, -160]]
[[1, 0], [1, 20], [-69, -140]]
[[1, 0], [1, 21], [-13, -56]]
[[1, 0], [1, 248], [-3, -248]]
[[1, 0], [1, 25], [-249, -25]]
[[1, 0], [1, 25], [-749, -125]]
[[1, 0], [1, 26], [-129, -130]]
[[1, 0], [1, 2], [-125, -2]]
[[1, 0], [1, 2], [-129, -10]]
[[1, 0], [1, 2], [-1385, -42]]
[[1, 0], [1, 2], [-1429, -130]]
[[1, 0], [1, 2], [-149, -50]]
[[1, 0], [1, 2], [-179, -48]]
[[1, 0], [1, 2], [-2079, -128]]
[[1, 0], [1, 2], [-249, -248]]
[[1, 0], [1, 2], [-251, -6]]
[[1, 0], [1, 2], [-259, -208]]
[[1, 0], [1, 2], [-281, -186]]
[[1, 0], [1, 2], [-331, -166]]
[[1, 0], [1, 2], [-359, -160]]
[[1, 0], [1, 2], [-4031, -126]]
[[1, 0], [1, 2], [-417, -152]]
[[1, 0], [1, 2], [-503, -14]]
[[1, 0], [1, 2], [-567, -142]]
[[1, 0], [1, 2], [-629, -18]]
[[1, 0], [1, 2], [-689, -138]]
[[1, 0], [1, 2], [-781, -136]]
[[1, 0], [1, 2], [-95, -62]]
[[1, 0], [1, 31], [-17, -248]]
[[1, 0], [1, 31], [-29, -155]]
[[1, 0], [1, 31], [-9, -31]]
[[1, 0], [1, 32], [-159, -128]]
[[1, 0], [1, 32], [-9, -40]]
[[1, 0], [1, 36], [-35, -144]]
[[1, 0], [1, 3], [-13, -8]]
[[1, 0], [1, 42], [-125, -42]]
[[1, 0], [1, 42], [-251, -126]]
[[1, 0], [1, 44], [-65, -132]]
[[1, 0], [1, 48], [-17, -72]]
[[1, 0], [1, 4], [-1055, -128]]
[[1, 0], [1, 4], [-125, -248]]
[[1, 0], [1, 4], [-197, -44]]
[[1, 0], [1, 4], [-33, -8]]
[[1, 0], [1, 4], [-35, -16]]
[[1, 0], [1, 4], [-39, -32]]
[[1, 0], [1, 4], [-47, -64]]
[[1, 0], [1, 4], [-65, -12]]
[[1, 0], [1, 4], [-69, -28]]
[[1, 0], [1, 5], [-159, -155]]
[[1, 0], [1, 5], [-249, -5]]
[[1, 0], [1, 5], [-3249, -125]]
[[1, 0], [1, 5], [-35, -31]]
[[1, 0], [1, 5], [-749, -25]]
[[1, 0], [1, 62], [-11, -186]]
[[1, 0], [1, 62], [-5, -62]]
[[1, 0], [1, 62], [-9, -248]]
[[1, 0], [1, 64], [-95, -128]]
[[1, 0], [1, 68], [-33, -136]]
[[1, 0], [1, 6], [-125, -6]]
[[1, 0], [1, 6], [-1385, -126]]
[[1, 0], [1, 6], [-149, -150]]
[[1, 0], [1, 6], [-179, -144]]
[[1, 0], [1, 6], [-209, -14]]
[[1, 0], [1, 6], [-251, -18]]
[[1, 0], [1, 6], [-33, -62]]
[[1, 0], [1, 6], [-503, -42]]
[[1, 0], [1, 6], [-95, -186]]
[[1, 0], [1, 8], [-203, -136]]
[[1, 0], [1, 8], [-543, -128]]
[[1, 0], [1, 8], [-63, -248]]
[[1, 0], [1, 8], [-83, -168]]
[[1, 0], [1, 9], [-19, -16]]
[[1, 0], [1, 9], [-7, -31]]
[[1, 0], [10, 31], [-18, -31]]
[[1, 0], [10, 31], [-74, -155]]
[[1, 0], [10, 31], [-89, -248]]
[[1, 0], [101, 124], [-205, -248]]
[[1, 0], [103, 124], [-209, -248]]
[[1, 0], [103, 248], [-105, -248]]
[[1, 0], [105, 124], [-213, -248]]
[[1, 0], [105, 248], [-107, -248]]
[[1, 0], [107, 248], [-109, -248]]
[[1, 0], [109, 124], [-221, -248]]
[[1, 0], [11, 124], [-25, -248]]
[[1, 0], [11, 20], [-119, -160]]
[[1, 0], [11, 20], [-139, -140]]
[[1, 0], [11, 248], [-13, -248]]
[[1, 0], [11, 31], [-79, -155]]
[[1, 0], [11, 31], [-97, -248]]
[[1, 0], [11, 62], [-15, -62]]
[[1, 0], [11, 62], [-41, -186]]
[[1, 0], [11, 62], [-49, -248]]
[[1, 0], [111, 124], [-225, -248]]
[[1, 0], [111, 248], [-113, -248]]
[[1, 0], [113, 124], [-229, -248]]
[[1, 0], [113, 248], [-115, -248]]
[[1, 0], [115, 124], [-233, -248]]
[[1, 0], [115, 248], [-117, -248]]
[[1, 0], [117, 124], [-237, -248]]
[[1, 0], [119, 124], [-241, -248]]
[[1, 0], [119, 248], [-121, -248]]
[[1, 0], [12, 31], [-105, -248]]
[[1, 0], [12, 31], [-20, -31]]
[[1, 0], [12, 31], [-84, -155]]
[[1, 0], [121, 124], [-245, -248]]
[[1, 0], [121, 248], [-123, -248]]
[[1, 0], [123, 124], [-249, -248]]
[[1, 0], [123, 248], [-125, -248]]
[[1, 0], [129, 248], [-131, -248]]
[[1, 0], [13, 124], [-29, -248]]
[[1, 0], [13, 16], [-119, -32]]
[[1, 0], [13, 16], [-179, -144]]
[[1, 0], [13, 16], [-207, -64]]
[[1, 0], [13, 16], [-25, -26]]
[[1, 0], [13, 16], [-35, -24]]
[[1, 0], [13, 16], [-383, -128]]
[[1, 0], [13, 16], [-87, -88]]
[[1, 0], [13, 186], [-17, -186]]
[[1, 0], [13, 31], [-113, -248]]
[[1, 0], [13, 31], [-89, -155]]
[[1, 0], [13, 48], [-35, -72]]
[[1, 0], [13, 62], [-17, -62]]
[[1, 0], [13, 62], [-47, -186]]
[[1, 0], [13, 62], [-57, -248]]
[[1, 0], [136, 155], [-144, -155]]
[[1, 0], [137, 248], [-139, -248]]
[[1, 0], [14, 31], [-121, -248]]
[[1, 0], [14, 31], [-94, -155]]
[[1, 0], [145, 248], [-147, -248]]
[[1, 0], [15, 124], [-33, -248]]
[[1, 0], [15, 248], [-17, -248]]
[[1, 0], [15, 31], [-129, -248]]
[[1, 0], [15, 31], [-99, -155]]
[[1, 0], [15, 62], [-19, -62]]
[[1, 0], [15, 62], [-53, -186]]
[[1, 0], [15, 62], [-65, -248]]
[[1, 0], [151, 155], [-159, -155]]
[[1, 0], [16, 155], [-24, -155]]
[[1, 0], [16, 31], [-104, -155]]
[[1, 0], [16, 31], [-137, -248]]
[[1, 0], [161, 248], [-163, -248]]
[[1, 0], [169, 248], [-171, -248]]
[[1, 0], [17, 124], [-37, -248]]
[[1, 0], [17, 248], [-19, -248]]
[[1, 0], [17, 31], [-109, -155]]
[[1, 0], [17, 31], [-145, -248]]
[[1, 0], [17, 32], [-223, -128]]
[[1, 0], [17, 32], [-29, -40]]
[[1, 0], [17, 62], [-21, -62]]
[[1, 0], [17, 62], [-59, -186]]
[[1, 0], [17, 62], [-73, -248]]
[[1, 0], [17, 64], [-127, -128]]
[[1, 0], [17, 64], [-79, -64]]
