[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10, -1, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10, -4, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10, -5, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10, -7, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-100, -16, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-100, -25, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-100, -5, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-100, -68, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-100, -84, -25]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1000, -55, -44]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1000, -88, -11]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1015, -174, -28]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-102, -45, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1020, -68, -33]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10205, -1884, -156]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1025, -450, -369]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10350, -759, -275]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1040, -192, -15]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1045, -132, -76]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-105, -100, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-105, -35, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-105, -48, -14]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-105, -90, -56]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1050, -200, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10500, -924, -125]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1056, -495, -32]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1060, -265, -52]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10620, -3068, -117]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10680, -979, -88]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -80, -27]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1080, -99, -8]]
