[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1, -1, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10, -5, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-12, -8, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2, -2, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-21, -14, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3, -1, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-4, -2, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-4, -4, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-5, -2, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-6, -3, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-6, -4, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-9, -6, -2]]
[[1, 0, 0], [0, 1, 0], [0, 1, 2], [-1, -2, -2]]
[[1, 0, 0], [0, 1, 0], [0, 1, 2], [-2, -3, -3]]
[[1, 0, 0], [0, 1, 0], [0, 1, 2], [-3, -2, -2]]
[[1, 0, 0], [0, 1, 0], [0, 1, 2], [-4, -3, -2]]
[[1, 0, 0], [0, 1, 0], [0, 1, 2], [-6, -5, -4]]
[[1, 0, 0], [0, 1, 0], [0, 1, 3], [-2, -3, -3]]
[[1, 0, 0], [0, 1, 0], [0, 1, 3], [-3, -2, -3]]
[[1, 0, 0], [0, 1, 0], [0, 1, 3], [-6, -5, -3]]
[[1, 0, 0], [0, 1, 0], [0, 1, 3], [-9, -8, -6]]
[[1, 0, 0], [0, 1, 0], [0, 1, 4], [-1, -2, -4]]
[[1, 0, 0], [0, 1, 0], [0, 1, 4], [-2, -3, -6]]
[[1, 0, 0], [0, 1, 0], [0, 1, 4], [-4, -3, -4]]
[[1, 0, 0], [0, 1, 0], [0, 1, 5], [-5, -4, -10]]
[[1, 0, 0], [0, 1, 0], [0, 1, 6], [-3, -2, -6]]
[[1, 0, 0], [0, 1, 0], [1, 0, 2], [-15, -8, -6]]
[[1, 0, 0], [0, 1, 0], [1, 0, 2], [-5, -2, -2]]
[[1, 0, 0], [0, 1, 0], [1, 0, 2], [-7, -4, -2]]
[[1, 0, 0], [0, 1, 0], [1, 0, 2], [-8, -3, -4]]
[[1, 0, 0], [0, 1, 0], [1, 0, 2], [-9, -5, -3]]
[[1, 0, 0], [0, 1, 0], [2, 2, 3], [-4, -4, -3]]
[[1, 0, 0], [0, 1, 0], [2, 3, 4], [-6, -5, -4]]
[[1, 0, 0], [0, 1, 0], [3, 4, 6], [-9, -8, -6]]
[[1, 0, 0], [1, 2, 0], [0, 0, 1], [-15, -10, -4]]
[[1, 0, 0], [1, 2, 0], [0, 0, 1], [-6, -4, -1]]
[[1, 0, 0], [1, 2, 0], [0, 0, 1], [-9, -6, -2]]
[[1, 0, 0], [1, 2, 0], [1, 0, 2], [-11, -6, -4]]
[[1, 0, 0], [1, 2, 0], [1, 0, 2], [-3, -2, -2]]
[[1, 0, 0], [1, 2, 0], [1, 0, 2], [-5, -2, -2]]
[[1, 0, 0], [1, 2, 0], [1, 0, 2], [-7, -4, -2]]
[[1, 0, 0], [1, 2, 0], [1, 0, 4], [-3, -2, -4]]
[[1, 0, 0], [1, 2, 0], [1, 2, 4], [-7, -6, -4]]
[[1, 0, 0], [1, 2, 0], [1, 2, 6], [-5, -4, -6]]
[[1, 0, 0], [1, 3, 0], [0, 0, 1], [-4, -6, -1]]
[[1, 0, 0], [1, 3, 0], [0, 0, 1], [-8, -12, -3]]
[[1, 0, 0], [1, 3, 0], [1, 0, 3], [-5, -6, -3]]
[[1, 0, 0], [1, 4, 0], [1, 0, 4], [-3, -4, -4]]
