[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10, -10, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10, -6, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-100, -75, -24]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-105, -20, -14]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-105, -28, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-105, -30, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-105, -90, -14]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1053, -324, -26]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -27, -8]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-117, -26, -12]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-117, -36, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-12, -2, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-12, -4, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-12, -5, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-12, -6, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-12, -9, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-120, -75, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-13, -6, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-14, -12, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-14, -7, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-144, -80, -15]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-144, -90, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-15, -2, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-15, -3, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-15, -9, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-150, -25, -24]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-154, -132, -21]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-16, -12, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-165, -44, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-168, -48, -7]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-171, -38, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-18, -10, -1]]
